proxy_ip,success_rate,status
120.92.212.16:8890,0.2857142857142857,BAD
123.200.17.138:96,0.14285714285714285,BAD
191.53.112.170:45619,0.14285714285714285,BAD
38.211.76.201:999,0.5714285714285714,BAD
103.247.13.148:7777,0.14285714285714285,BAD
147.75.34.105:443,0.2857142857142857,BAD
103.67.80.176:7777,0.14285714285714285,BAD
103.175.80.202:8080,0.14285714285714285,BAD
85.209.129.228:55555,0.42857142857142855,BAD
139.59.1.14:3128,0.2857142857142857,BAD
212.34.137.97:33905,0.2857142857142857,BAD
202.5.37.104:17382,0.14285714285714285,BAD
123.200.23.121:4126,0.14285714285714285,BAD
189.73.53.94:8080,0.14285714285714285,BAD
103.245.96.165:3214,0.14285714285714285,BAD
39.185.41.193:5911,0.2857142857142857,BAD
36.88.141.105:8080,0.14285714285714285,BAD
177.136.32.202:54443,0.14285714285714285,BAD
188.132.222.45:8080,0.14285714285714285,BAD
78.153.155.31:1082,0.2857142857142857,BAD
181.209.82.205:999,0.14285714285714285,BAD
202.4.117.136:3128,0.14285714285714285,BAD
103.170.100.96:8080,0.2857142857142857,BAD
131.72.89.53:9500,0.42857142857142855,BAD
202.51.196.230:8080,0.42857142857142855,BAD
103.227.186.217:6080,0.14285714285714285,BAD
103.254.104.22:8010,0.14285714285714285,BAD
52.47.164.226:1194,0.2857142857142857,BAD
178.22.31.205:1081,0.14285714285714285,BAD
157.230.106.35:8080,0.2857142857142857,BAD
181.78.71.171:999,0.14285714285714285,BAD
147.45.179.180:1081,0.14285714285714285,BAD
65.108.203.36:18080,0.2857142857142857,BAD
8.219.97.248:80,0.2857142857142857,BAD
117.102.78.50:8000,0.14285714285714285,BAD
182.163.120.83:55443,0.14285714285714285,BAD
187.190.58.152:80,0.2857142857142857,BAD
138.68.60.8:8080,0.42857142857142855,BAD
202.145.5.184:8080,0.2857142857142857,BAD
27.147.137.234:9108,0.14285714285714285,BAD
119.95.175.239:8082,0.2857142857142857,BAD
103.180.118.109:8090,0.2857142857142857,BAD
181.78.20.11:999,0.14285714285714285,BAD
165.227.104.238:8118,0.2857142857142857,BAD
139.59.1.14:8080,0.5714285714285714,BAD
103.145.46.79:1452,0.2857142857142857,BAD
91.107.154.88:443,0.42857142857142855,BAD
190.97.230.146:999,0.2857142857142857,BAD
45.168.49.2:8080,0.14285714285714285,BAD
59.153.18.142:20909,0.14285714285714285,BAD
104.251.81.87:14270,0.14285714285714285,BAD
186.250.202.104:8080,0.14285714285714285,BAD
91.217.33.161:8080,0.14285714285714285,BAD
202.180.21.213:80,0.14285714285714285,BAD
115.127.105.163:6699,0.14285714285714285,BAD
85.208.200.185:8081,0.14285714285714285,BAD
27.72.244.228:8080,0.14285714285714285,BAD
36.91.220.132:8080,0.14285714285714285,BAD
207.246.234.115:4669,0.2857142857142857,BAD
161.35.70.249:3128,0.5714285714285714,BAD
139.162.78.109:8080,0.42857142857142855,BAD
45.166.93.113:999,0.14285714285714285,BAD
189.89.154.130:3128,0.14285714285714285,BAD
103.180.118.184:8080,0.14285714285714285,BAD
24.152.58.22:999,0.14285714285714285,BAD
200.174.198.32:8888,0.14285714285714285,BAD
14.241.39.169:8080,0.14285714285714285,BAD
47.176.240.250:4228,0.14285714285714285,BAD
217.160.224.54:8118,0.14285714285714285,BAD
52.188.28.218:3128,0.5714285714285714,BAD
103.144.102.82:8080,0.14285714285714285,BAD
3.21.106.186:81,0.14285714285714285,BAD
202.154.18.22:8080,0.14285714285714285,BAD
202.140.62.212:8080,0.14285714285714285,BAD
187.49.149.49:9999,0.14285714285714285,BAD
150.107.140.238:3128,0.14285714285714285,BAD
138.99.94.51:8080,0.14285714285714285,BAD
178.130.47.129:1082,0.2857142857142857,BAD
38.224.21.1:999,0.14285714285714285,BAD
210.223.44.230:3128,0.5714285714285714,BAD
176.88.191.254:8080,0.14285714285714285,BAD
150.249.255.91:3128,0.14285714285714285,BAD
103.142.254.101:1111,0.2857142857142857,BAD
154.197.69.137:8888,0.2857142857142857,BAD
157.20.253.43:8989,0.14285714285714285,BAD
202.179.13.161:443,0.14285714285714285,BAD
223.113.134.102:22222,0.14285714285714285,BAD
59.37.18.243:3128,0.14285714285714285,BAD
71.168.71.12:8890,0.2857142857142857,BAD
109.224.242.151:8080,0.14285714285714285,BAD
122.3.77.27:8082,0.14285714285714285,BAD
123.200.10.46:8081,0.14285714285714285,BAD
205.164.192.115:999,0.5714285714285714,BAD
45.174.56.21:999,0.2857142857142857,BAD
51.48.124.225:8724,0.2857142857142857,BAD
198.199.86.11:3128,0.5714285714285714,BAD
103.122.64.230:8080,0.14285714285714285,BAD
181.78.202.28:8080,0.14285714285714285,BAD
20.210.113.32:8123,0.14285714285714285,BAD
41.223.119.156:3128,0.42857142857142855,BAD
210.87.125.58:1080,0.14285714285714285,BAD
103.35.188.243:3128,0.42857142857142855,BAD
59.153.18.230:20909,0.14285714285714285,BAD
157.230.28.51:1981,0.14285714285714285,BAD
157.119.50.129:8082,0.2857142857142857,BAD
109.107.181.151:51553,0.42857142857142855,BAD
185.218.202.182:8080,0.14285714285714285,BAD
179.96.28.58:80,0.2857142857142857,BAD
177.184.195.168:8080,0.14285714285714285,BAD
38.183.146.29:7080,0.14285714285714285,BAD
45.65.138.48:999,0.14285714285714285,BAD
65.108.159.129:8081,0.2857142857142857,BAD
63.151.67.7:8080,0.14285714285714285,BAD
139.28.49.108:8080,0.2857142857142857,BAD
181.78.48.237:999,0.5714285714285714,BAD
216.229.112.25:8080,0.2857142857142857,BAD
190.60.56.226:999,0.14285714285714285,BAD
163.5.128.117:14270,0.14285714285714285,BAD
40.192.14.136:9292,0.2857142857142857,BAD
147.45.179.84:1081,0.14285714285714285,BAD
191.37.66.225:8080,0.14285714285714285,BAD
78.12.220.164:117,0.14285714285714285,BAD
221.202.27.194:10809,0.14285714285714285,BAD
38.156.237.214:999,0.14285714285714285,BAD
113.11.64.137:9107,0.2857142857142857,BAD
211.230.49.122:3128,0.5714285714285714,BAD
167.249.52.246:999,0.2857142857142857,BAD
103.189.197.53:8181,0.14285714285714285,BAD
212.51.157.178:8080,0.14285714285714285,BAD
45.174.191.19:20183,0.14285714285714285,BAD
103.13.204.11:8090,0.2857142857142857,BAD
